,Open,High,Low,Close,Volume,Change,code
2021-12-17,1386156,1406519,1371611,1389066,94123,-0.003131840135492992,207940
2021-12-20,1397792,1399247,1352702,1359975,43551,-0.020942849367848612,207940
2021-12-21,1361429,1374521,1343974,1351248,32461,-0.006417029724811118,207940
2021-12-22,1330885,1345430,1306158,1310522,54011,-0.030139545072407136,207940
2021-12-23,1310522,1316340,1282885,1303248,45842,-0.005550460045691718,207940
2021-12-24,1303248,1313430,1287249,1287249,33188,-0.012276251335125778,207940
2021-12-27,1287249,1304702,1287249,1288703,38400,0.001129540593933264,207940
2021-12-28,1295976,1298885,1284339,1295976,60994,0.005643658779408445,207940
2021-12-29,1307612,1316340,1285795,1294521,48053,-0.0011227059760365932,207940
2021-12-30,1394884,1394884,1303248,1313430,116176,0.014606947280113646,207940
2022-01-03,1313430,1338157,1311976,1325067,30918,0.008860007765925859,207940
2022-01-04,1311976,1325067,1287249,1291613,47744,-0.025247025244761207,207940
2022-01-05,1281431,1282885,1240704,1252341,65014,-0.030405392327268306,207940
2022-01-06,1252341,1259613,1214523,1218886,55078,-0.026713970076840093,207940
2022-01-07,1218886,1236341,1218886,1227614,48472,0.007160636843806558,207940
2022-01-10,1240704,1240704,1213069,1215977,32801,-0.009479364034623261,207940
2022-01-11,1211613,1227614,1211613,1211613,27652,-0.003588883671319441,207940
2022-01-12,1224704,1253795,1218886,1246523,43855,0.02881283049950768,207940
2022-01-13,1243613,1258159,1229068,1258159,41481,0.00933476558394831,207940
2022-01-14,1249431,1253795,1226158,1236341,33053,-0.0173412104511433,207940
2022-01-17,1218886,1236341,1195614,1201432,47742,-0.02823573755137134,207940
2022-01-18,1201432,1208705,1170887,1172341,64246,-0.02421360509791649,207940
2022-01-19,1165069,1201432,1163615,1186886,32234,0.01240679972806547,207940
2022-01-20,1192706,1195614,1178160,1186886,25225,0.0,207940
2022-01-21,1179614,1207251,1178160,1189796,25712,0.0024517940223408147,207940
2022-01-24,1182524,1192706,1172341,1179614,27155,-0.008557769567219927,207940
2022-01-25,1182524,1185432,1134525,1134525,69716,-0.038223520575374655,207940
2022-01-26,1137433,1140342,1101070,1101070,65435,-0.029488111764835505,207940
2022-01-27,1101070,1102524,1035618,1035618,111340,-0.05944399538630605,207940
2022-01-28,1016709,1090889,1007981,1074890,114212,0.0379213184784351,207940
2022-02-03,1090889,1141797,1083616,1122888,64476,0.04465387155895022,207940
2022-02-04,1106888,1134525,1105434,1118525,28011,-0.0038855166321129088,207940
2022-02-07,1114162,1117070,1086525,1109798,31398,-0.0078022395565588605,207940
2022-02-08,1134525,1221796,1122888,1163615,115248,0.048492608564801885,207940
2022-02-09,1151978,1163615,1121433,1124343,49783,-0.033749994628807636,207940
2022-02-10,1125797,1135979,1121433,1128707,34480,0.003881377835767199,207940
2022-02-11,1108342,1108342,1083616,1096707,41426,-0.02835102466804937,207940
2022-02-14,1079252,1125797,1074890,1109798,40223,0.011936643059632152,207940
2022-02-15,1112706,1121433,1069070,1076344,38277,-0.030144224444448448,207940
2022-02-16,1092343,1114162,1085071,1101070,29795,0.02297220962814862,207940
2022-02-17,1111252,1127251,1083616,1105434,34581,0.003963417403071557,207940
2022-02-18,1085071,1103980,1083616,1101070,25633,-0.003947770739818026,207940
2022-02-21,1083616,1119979,1080707,1115616,22247,0.013210785871924582,207940
2022-02-22,1099616,1131615,1098161,1127251,35517,0.010429215787511114,207940
2022-02-23,1134525,1141797,1118525,1118525,24422,-0.007740955652290395,207940
2022-02-24,1112706,1114162,1090889,1105434,27606,-0.01170380635211551,207940
2022-02-25,1105434,1122888,1102524,1118525,37930,0.011842407597378044,207940
2022-02-28,1114110,1146488,1099393,1146488,42883,0.024999888245680696,207940
2022-03-02,1161206,1168565,1121469,1130299,43347,-0.01412051412661973,207940
2022-03-03,1130299,1159734,1122941,1158262,30781,0.024739471591145354,207940
2022-03-04,1159734,1168565,1133243,1140601,29042,-0.015247845478829488,207940
2022-03-07,1124412,1133243,1111167,1124412,26793,-0.01419339453498638,207940
2022-03-08,1118525,1143545,1108223,1131771,26279,0.006544754058121044,207940
2022-03-10,1153847,1170036,1140601,1167093,57269,0.031209493793355723,207940
2022-03-11,1155319,1175923,1147960,1158262,27080,-0.007566663496396602,207940
2022-03-14,1152375,1175923,1145017,1175923,35046,0.015247845478829488,207940
2022-03-15,1177395,1199471,1167093,1193584,39585,0.015018840519319718,207940
2022-03-16,1209773,1217132,1195056,1215660,36725,0.01849555624070028,207940
2022-03-17,1227434,1236265,1196528,1199471,42855,-0.013317045884540085,207940
